iter	Passed	Remaining
0	62	61967
1	62	31254
2	63	20955
3	63	15807
4	63	12710
5	64	10644
6	64	9166
7	64	8057
8	65	7196
9	65	6506
10	66	5947
11	66	5478
12	66	5081
13	67	4741
14	67	4445
15	68	4192
16	68	3971
17	69	3769
18	69	3588
19	69	3426
20	70	3281
21	70	3150
22	71	3027
23	71	2913
24	72	2808
25	72	2711
26	72	2623
27	73	2540
28	73	2463
29	73	2391
30	74	2324
31	74	2262
32	75	2207
33	75	2158
34	76	2109
35	77	2065
36	77	2024
37	78	1983
38	79	1948
39	79	1910
40	80	1875
41	80	1844
42	81	1811
43	81	1780
44	82	1751
45	83	1727
46	83	1700
47	84	1673
48	84	1647
49	85	1621
50	85	1596
51	86	1573
52	86	1550
53	87	1528
54	87	1508
55	88	1489
56	88	1471
57	89	1453
58	89	1435
59	90	1417
60	91	1403
61	91	1388
62	92	1375
63	92	1358
64	93	1341
65	93	1324
66	93	1308
67	94	1290
68	94	1275
69	94	1261
70	95	1246
71	95	1232
72	95	1218
73	96	1205
74	96	1192
75	97	1180
76	97	1167
77	97	1156
78	98	1144
79	98	1133
80	98	1122
81	99	1111
82	99	1100
83	99	1090
84	100	1078
85	100	1068
86	100	1057
87	101	1048
88	101	1039
89	101	1030
90	102	1022
91	102	1015
92	103	1007
93	103	1002
94	104	995
95	105	989
96	105	981
97	105	974
98	106	968
99	106	961
100	107	954
101	107	946
102	107	940
103	108	933
104	108	926
105	109	921
106	109	916
107	110	910
108	110	903
109	110	897
110	111	891
111	111	884
112	111	878
113	112	872
114	112	867
115	112	860
116	113	854
117	113	849
118	113	843
119	114	838
120	114	832
121	114	827
122	115	821
123	115	816
124	115	811
125	116	806
126	116	801
127	116	795
128	117	791
129	117	786
130	117	782
131	118	777
132	118	773
133	118	768
134	119	764
135	119	760
136	119	755
137	120	751
138	120	746
139	120	742
140	121	739
141	121	735
142	122	731
143	122	727
144	122	723
145	123	719
146	123	716
147	123	712
148	124	708
149	124	705
150	124	701
151	125	699
152	126	697
153	126	695
154	126	692
155	127	689
156	127	686
157	128	684
158	128	681
159	129	678
160	129	676
161	130	673
162	130	670
163	130	667
164	131	663
165	131	661
166	131	658
167	132	655
168	132	652
169	132	649
170	133	646
171	133	643
172	134	640
173	134	638
174	134	635
175	135	632
176	135	629
177	135	627
178	136	624
179	136	621
180	136	618
181	137	615
182	137	613
183	137	610
184	138	608
185	138	605
186	138	603
187	139	601
188	139	599
189	139	596
190	140	594
191	140	592
192	141	590
193	141	589
194	142	587
195	142	584
196	142	582
197	143	580
198	143	578
199	144	576
200	144	574
201	144	572
202	145	570
203	145	568
204	146	567
205	146	565
206	147	563
207	147	561
208	147	558
209	147	556
210	148	554
211	148	552
212	149	550
213	149	548
214	149	546
215	149	544
216	150	542
217	150	540
218	150	538
219	151	536
220	151	534
221	151	532
222	152	530
223	152	528
224	152	526
225	153	524
226	153	522
227	153	520
228	154	518
229	154	516
230	154	515
231	155	513
232	155	511
233	155	509
234	156	508
235	156	506
236	156	504
237	157	502
238	157	501
239	157	499
240	158	497
241	158	496
242	158	495
243	159	493
244	159	492
245	160	490
246	160	489
247	160	487
248	161	486
249	161	484
250	161	483
251	162	481
252	162	480
253	163	478
254	163	477
255	163	475
256	164	474
257	164	472
258	164	471
259	165	469
260	165	468
261	165	466
262	166	465
263	166	463
264	166	462
265	167	460
266	167	459
267	167	458
268	167	456
269	168	455
270	168	453
271	168	452
272	169	450
273	169	449
274	169	448
275	170	446
276	170	445
277	170	443
278	171	442
279	171	441
280	171	439
281	172	438
282	172	437
283	172	435
284	173	434
285	173	433
286	173	431
287	174	430
288	174	429
289	174	428
290	175	426
291	175	425
292	175	424
293	176	423
294	176	422
295	177	421
296	177	420
297	177	418
298	178	417
299	178	416
300	178	415
301	179	414
302	179	413
303	180	412
304	180	411
305	180	410
306	181	409
307	181	407
308	181	406
309	182	405
310	182	404
311	182	403
312	183	401
313	183	400
314	183	400
315	184	399
316	184	398
317	185	397
318	185	396
319	185	395
320	186	394
321	186	393
322	187	392
323	187	391
324	187	390
325	188	389
326	188	388
327	188	386
328	189	385
329	189	384
330	189	383
331	190	382
332	190	381
333	191	380
334	191	379
335	191	379
336	192	378
337	192	377
338	192	376
339	193	375
340	193	374
341	194	373
